movie_title,year,rank,star_cast,rating,vote,link,genres
The Shawshank Redemption,1994,1,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.22052960192163,2466859,https://www.imdb.com/title/tt0111161/,Drama
The Godfather,1972,2,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.14726489454096,1705345,https://www.imdb.com/title/tt0068646/,"Crime,Drama"
The Godfather: Part II,1974,3,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.980511911369877,1184616,https://www.imdb.com/title/tt0071562/,"Crime,Drama"
The Dark Knight,2008,4,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.97304329582669,2421492,https://www.imdb.com/title/tt0468569/,"Action,Crime,Drama,Thriller"
De 12 gezworenen,1957,5,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.939126489946899,730194,https://www.imdb.com/title/tt0050083/,"Crime,Drama"
Schindler's List,1993,6,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.911112250859139,1267616,https://www.imdb.com/title/tt0108052/,"Biography,Drama,History"
The Lord of the Rings: The Return of the King,2003,7,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.888294998167801,1711213,https://www.imdb.com/title/tt0167260/,"Action,Adventure,Drama,Fantasy"
Pulp Fiction,1994,8,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.836047313498215,1910229,https://www.imdb.com/title/tt0110912/,"Crime,Drama"
"The Good, the Bad and the Ugly",1966,9,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.786346261267132,718421,https://www.imdb.com/title/tt0060196/,Western
 The Lord of the Rings: The Fellowship of the Ring,2001,10,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.778493686643499,1732485,https://www.imdb.com/title/tt0120737/,"Action,Adventure,Drama,Fantasy"
Fight Club,1999,11,"David Fincher (dir.), Brad Pitt, Edward Norton",8.75234499216559,1942043,https://www.imdb.com/title/tt0137523/,Drama
Forrest Gump,1994,12,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.743853169204009,1906967,https://www.imdb.com/title/tt0109830/,"Drama,Romance"
Inception,2010,13,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.714618232333622,2172519,https://www.imdb.com/title/tt1375666/,"Action,Adventure,Sci-Fi,Thriller"
The Lord of the Rings: The Two Towers,2002,14,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.702010872395139,1547057,https://www.imdb.com/title/tt0167261/,"Action,Adventure,Drama,Fantasy"
Star Wars: Episode V - The Empire Strikes Back,1980,15,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.694828257870379,1205992,https://www.imdb.com/title/tt0080684/,"Action,Adventure,Fantasy,Sci-Fi"
The Matrix,1999,16,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.645275579636737,1760996,https://www.imdb.com/title/tt0133093/,"Action,Sci-Fi"
Goodfellas,1990,17,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.643764652461968,1071094,https://www.imdb.com/title/tt0099685/,"Biography,Crime,Drama"
One Flew Over the Cuckoo's Nest,1975,18,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.635155185062647,954669,https://www.imdb.com/title/tt0073486/,Drama
Shichinin no samurai,1954,19,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.609145471206181,329158,https://www.imdb.com/title/tt0047478/,"Action,Adventure,Drama"
